,DESEEDED,,DDDEEEES,1,
,DESEEDER,s,DDEEEERS,1,2
,DESKILLS,,DEIKLLSS,1,
,DESORBER,s,BDEEORRS,1,2
,DESTREAM,s,ADEEMRST,1,3
,DESTRESS,,DEERSSST,1,3
,DETANGLE,drs,ADEEGLNT,1,2
,DETUNING,,DEGINNTU,1,2
,DEXTRALS,,ADELRSTX,1,
,DHANSAKS,,AADHKNSS,1,
,DIARCHAL,,AACDHILR,1,
,DIATREME,s,ADEEIMRT,1,2
,DICKERER,s,CDEEIKRR,2,
,DIGICAMS,,ACDGIIMS,1,
,DIGITISE,ds,DEGIIIST,1,
,DILLWEED,s,DDEEILLW,1,
,DIRTBALL,s,ABDILLRT,1,
,DISCLESS,,CDEILSSS,1,
,DISKLESS,,DEIKLSSS,1,
,DISOMIES,,DEIIMOSS,1,
,DISOWNER,s,DEINORSW,1,
,DISSAVER,s,ADEIRSSV,1,2
,DJIBBAHS,,ABBDHIJS,1,
,DOCUSOAP,s,ACDOOPSU,1,
,DOGSKINS,,DGIKNOSS,1,
,DOGSTAIL,s,ADGILOST,2,
,DOGTAILS,,ADGILOST,2,
,DONEGALS,,ADEGLNOS,2,
,DONSHIPS,,DHINOPSS,1,
,DOORCASE,s,ACDEOORS,1,
,DOWNHOLE,,DEHLNOOW,1,
,DOWNRATE,ds,ADENORTW,1,3
,DOWNWARP,s,ADNOPRWW,1,
,DOWSINGS,,DGINOSSW,1,
,DRAWCORD,s,ACDDORRW,1,
,DREADEST,,ADDEERST,1,
,DREAREST,,ADEERRST,1,5
,DRECKIER,,CDEEIKRR,2,
,DRECKISH,,CDEHIKRS,1,
,DREKKIER,,DEEIKKRR,1,
,DREKKISH,,DEHIKKRS,1,
,DRIFTNET,s,DEFINRTT,1,
,DRONGOES,,DEGNOORS,1,
,DROPSEED,s,DDEEOPRS,1,
,DROPTOPS,,DOOPPRST,1,
,DROVINGS,,DGINORSV,1,
,DRUGLESS,,DEGLRSSU,1,
,DRUNKISH,,DHIKNRSU,1,
,DRYLANDS,,ADDLNRSY,1,
,DRYSUITS,,DIRSSTUY,1,
,DUALISED,,ADDEILSU,1,
